Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2003060502,SBKG,050200Z,18004KT,9999,na,na,SCT010,BKN015,na,21/21,Q1017,NULL
2003060503,SBKG,050300Z,14002KT,7000,na,na,SCT010,BKN015,BKN090,21/21,Q1017,NULL
2003060509,SBKG,050900Z,16006KT,2000,-RA,na,BKN006,BKN010,OVC090,21/21,Q1016,NULL
2003060509,SBKG,050910Z,12006KT,5000,BR,na,SCT006,BKN010,OVC090,21/21,Q1016,NULL
2003060510,SBKG,051000Z,13006KT,6000,na,na,BKN015,BKN100,na,22/21,Q1017,NULL
2003060511,SBKG,051100Z,12006KT,9999,na,na,BKN020,BKN100,na,23/21,Q1017,NULL
2003060512,SBKG,051200Z,12010KT,6000,na,na,BKN017,BKN100,na,23/21,Q1018,NULL
2003060513,SBKG,051300Z,13010KT,9999,na,na,BKN017,BKN100,na,25/20,Q1017,NULL
2003060514,SBKG,051400Z,14010KT,9999,na,na,BKN020,BKN300,na,26/20,Q1017,NULL
2003060515,SBKG,051500Z,14008KT,9999,na,na,BKN023,SCT300,na,27/20,Q1016,NULL
2003060516,SBKG,051600Z,13010KT,9999,na,na,BKN023,na,na,28/20,Q1016,NULL
2003060517,SBKG,051700Z,14012KT,9999,na,na,BKN023,FEW025TCU,na,28/19,Q1015,NULL
2003060518,SBKG,051800Z,15008KT,9999,na,na,SCT022,FEW025TCU,na,26/21,Q1015,NULL
2003060519,SBKG,051900Z,15012KT,9999,na,na,BKN020,FEW023TCU,na,26/21,Q1015,NULL
2003060520,SBKG,052000Z,14006KT,9999,na,na,SCT020,na,na,24/21,Q1016,NULL
2003060521,SBKG,052100Z,14008KT,9999,na,na,FEW018,na,na,23/21,Q1016,NULL
2003060522,SBKG,052200Z,13006KT,CAVOK,na,na,na,na,na,22/20,Q1017,NULL
2003060523,SBKG,052300Z,15006KT,9999,na,na,FEW025,na,na,22/20,Q1018,NULL
2003060600,SBKG,060000Z,13006KT,9999,na,na,SCT020,na,na,22/20,Q1018,NULL
2003060601,SBKG,060100Z,16008KT,9999,na,na,BKN018,na,na,22/20,Q1018,NULL
2003060602,SBKG,060200Z,15006KT,9999,na,na,SCT017,na,na,22/20,Q1018,NULL
2003060603,SBKG,060300Z,15006KT,9999,na,na,SCT017,na,na,21/20,Q1018,NULL
2003060609,SBKG,060900Z,18004KT,9999,na,na,SCT017,na,na,19/19,Q1017,NULL
2003060610,SBKG,061000Z,18006KT,9999,na,na,SCT020,na,na,22/19,Q1018,NULL
2003060611,SBKG,061100Z,16010KT,9999,na,na,SCT020,na,na,22/19,Q1018,NULL
2003060612,SBKG,061200Z,18010KT,9999,na,na,SCT020,na,na,23/20,Q1018,NULL
2003060613,SBKG,061300Z,14010KT,9999,na,na,BKN020,na,na,25/20,Q1018,NULL
2003060614,SBKG,061400Z,18010KT,9999,na,na,BKN020,na,na,25/20,Q1017,NULL
2003060615,SBKG,061500Z,15008KT,9999,na,na,BKN023,na,na,26/19,Q1016,NULL
2003060616,SBKG,061600Z,17010KT,9999,na,na,BKN025,na,na,27/20,Q1015,NULL
2003060617,SBKG,061700Z,17012KT,9999,na,na,SCT025,BKN090,na,28/20,Q1014,NULL
2003060618,SBKG,061800Z,14010KT,9999,na,na,SCT023,SCT090,na,27/21,Q1014,NULL
2003060619,SBKG,061900Z,17010KT,9999,na,na,FEW020,SCT090,na,26/21,Q1014,NULL
2003060620,SBKG,062000Z,14008KT,9999,na,na,FEW018,BKN090,na,25/20,Q1015,NULL
2003060621,SBKG,062100Z,13007KT,9999,na,na,FEW018,SCT090,na,23/21,Q1016,NULL
2003060622,SBKG,062200Z,13006KT,9999,na,na,BKN017,na,na,23/21,Q1016,NULL
2003060623,SBKG,062300Z,15006KT,9999,na,na,SCT017,SCT100,na,23/21,Q1017,NULL
2003060700,SBKG,070000Z,13005KT,9999,na,na,BKN016,na,na,22/21,Q1017,NULL
2003060701,SBKG,070100Z,13004KT,9999,na,na,BKN012,na,na,22/21,Q1018,NULL
2003060702,SBKG,070200Z,18004KT,9999,na,na,SCT015,na,na,22/20,Q1017,NULL
2003060703,SBKG,070300Z,16006KT,9999,na,na,BKN015,na,na,22/21,Q1017,NULL
2003060709,SBKG,070900Z,20006KT,3000,-DZ,na,OVC010,na,na,21/20,Q1017,NULL
2003060710,SBKG,071000Z,18007KT,5000,BR,na,SCT010,BKN015,na,21/21,Q1017,NULL
2003060711,SBKG,071100Z,17008KT,9999,na,na,SCT012,SCT015,BKN100,22/20,Q1018,NULL
2003060712,SBKG,071200Z,18008KT,9999,na,na,SCT015,BKN017,BKN100,23/21,Q1018,NULL
2003060713,SBKG,071300Z,20010KT,8000,na,na,SCT012,BKN015,BKN090,24/21,Q1018,NULL
2003060714,SBKG,071400Z,17008KT,9999,na,na,SCT017,SCT090,na,25/21,Q1017,NULL
2003060715,SBKG,071500Z,15010KT,9999,na,na,SCT020,na,na,26/21,Q1016,NULL
2003060716,SBKG,071600Z,16012KT,9999,na,na,BKN018,na,na,26/21,Q1015,NULL
2003060717,SBKG,071700Z,15008KT,9999,na,na,SCT018,na,na,26/21,Q1014,NULL
2003060718,SBKG,071800Z,13012KT,9999,na,na,BKN020,na,na,25/21,Q1014,NULL
