Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2006060103,SBKG,010300Z,18004KT,CAVOK,na,na,na,na,na,20/19,Q1018,NULL
2006060103,SBKG,010315Z,18004KT,CAVOK,na,na,na,na,na,20/19,Q1018,NULL
2006060104,SBKG,010400Z,17004KT,CAVOK,na,na,na,na,na,20/18,Q1017,NULL
2006060105,SBKG,010500Z,18004KT,CAVOK,na,na,na,na,na,19/18,Q1017,NULL
2006060106,SBKG,010600Z,18005KT,CAVOK,na,na,na,na,na,18/18,Q1016,NULL
2006060107,SBKG,010700Z,18004KT,CAVOK,na,na,na,na,na,19/18,Q1016,NULL
2006060108,SBKG,010800Z,16002KT,CAVOK,na,na,na,na,na,19/18,Q1017,NULL
2006060109,SBKG,010900Z,03002KT,9999,na,na,SCT020,na,na,18/18,Q1018,NULL
2006060110,SBKG,011000Z,15004KT,9999,na,na,SCT020,na,na,19/19,Q1018,NULL
2006060111,SBKG,011100Z,15010KT,9999,na,na,SCT020,na,na,23/19,Q1019,NULL
2006060112,SBKG,011200Z,15012KT,9999,na,na,SCT020,na,na,25/18,Q1019,NULL
2006060113,SBKG,011300Z,16013KT,CAVOK,na,na,na,na,na,27/16,Q1018,NULL
2006060114,SBKG,011400Z,16010KT,9999,na,na,SCT020,na,na,27/17,Q1018,NULL
2006060115,SBKG,011500Z,16010KT,9999,na,na,BKN020,na,na,27/18,Q1017,NULL
2006060116,SBKG,011600Z,18012KT,9999,na,na,BKN020,BKN100,na,28/19,Q1017,NULL
2006060117,SBKG,011700Z,16014KT,9999,na,na,SCT023,BKN100,na,27/19,Q1016,NULL
2006060118,SBKG,011800Z,16012KT,9999,na,na,SCT023,SCT100,na,28/19,Q1016,NULL
2006060119,SBKG,011900Z,19008KT,9999,na,na,SCT023,na,na,27/20,Q1016,NULL
2006060120,SBKG,012000Z,15007KT,9999,na,na,FEW023,na,na,26/19,Q1016,NULL
2006060121,SBKG,012100Z,14005KT,9999,na,na,FEW020,na,na,24/20,Q1017,NULL
2006060122,SBKG,012200Z,12004KT,CAVOK,na,na,na,na,na,23/20,Q1017,NULL
2006060203,SBKG,020316Z,16002KT,9999,na,na,FEW015,na,na,20/19,Q1018,NULL
2006060204,SBKG,020400Z,18004KT,9999,na,na,FEW015,na,na,20/19,Q1017,NULL
2006060205,SBKG,020500Z,19006KT,9999,na,na,FEW015,na,na,20/19,Q1017,NULL
2006060206,SBKG,020600Z,16002KT,CAVOK,na,na,na,na,na,20/19,Q1017,NULL
2006060207,SBKG,020700Z,15002KT,CAVOK,na,na,na,na,na,20/19,Q1017,NULL
2006060208,SBKG,020800Z,16004KT,CAVOK,na,na,na,na,na,20/19,Q1017,NULL
2006060209,SBKG,020900Z,16002KT,9999,na,na,SCT015,SCT300,na,20/19,Q1017,NULL
2006060210,SBKG,021000Z,17004KT,9999,na,na,SCT020,BKN300,na,22/21,Q1018,NULL
2006060211,SBKG,021100Z,17010KT,9999,na,na,BKN020,BKN300,na,22/20,Q1014,NULL
2006060212,SBKG,021200Z,16006KT,9999,na,na,BKN020,BKN300,na,24/21,Q1019,NULL
2006060213,SBKG,021300Z,16010KT,9999,na,na,BKN020,BKN300,na,25/21,Q1018,NULL
2006060214,SBKG,021400Z,13008KT,9999,na,na,BKN020,BKN100,na,24/21,Q1018,NULL
2006060215,SBKG,021500Z,15014KT,9999,na,na,BKN023,BKN100,na,26/20,Q1018,NULL
2006060216,SBKG,021600Z,16012KT,9999,na,na,SCT026,BKN100,na,26/19,Q1017,NULL
2006060217,SBKG,021700Z,12008KT,9999,na,na,FEW032,SCT100,na,27/19,Q1017,NULL
2006060218,SBKG,021800Z,15008KT,8000,na,na,SCT030,SCT100,na,27/21,Q1016,NULL
2006060219,SBKG,021900Z,17014KT,9999,na,na,SCT025,SCT100,na,25/20,Q1017,NULL
2006060220,SBKG,022000Z,15012KT,6000,-DZ,na,FEW012,BKN018,BKN090,23/21,Q1017,NULL
2006060221,SBKG,022100Z,13004KT,9999,na,na,FEW016,SCT020,BKN090,22/20,Q1018,NULL
2006060222,SBKG,022200Z,14002KT,9999,na,na,SCT026,BKN090,na,21/20,Q1018,NULL
2006060303,SBKG,030315Z,12002KT,9999,na,na,BKN015,na,na,20/19,Q1018,NULL
2006060304,SBKG,030400Z,17003KT,9999,na,na,SCT015,na,na,20/19,Q1018,NULL
2006060305,SBKG,030500Z,16002KT,9999,na,na,SCT015,na,na,20/19,Q1017,NULL
2006060306,SBKG,030600Z,20004KT,9999,na,na,SCT015,na,na,20/19,Q1017,NULL
2006060307,SBKG,030700Z,19004KT,9999,na,na,BKN015,na,na,19/19,Q1017,NULL
2006060308,SBKG,030800Z,17002KT,9999,na,na,SCT015,na,na,19/19,Q1017,NULL
2006060309,SBKG,030900Z,16003KT,9999,na,na,SCT017,SCT100,na,20/19,Q1017,NULL
2006060310,SBKG,031000Z,16006KT,9999,na,na,SCT017,SCT100,na,21/20,Q1018,NULL
2006060311,SBKG,031100Z,16010KT,9999,na,na,BKN020,na,na,23/20,Q1018,NULL
2006060312,SBKG,031200Z,16012KT,9999,na,na,FEW015,BKN020,na,23/20,Q1018,NULL
2006060313,SBKG,031300Z,13015KT,9999,na,na,SCT020,na,na,26/19,Q1018,NULL
2006060314,SBKG,031400Z,16010KT,9999,na,na,SCT020,na,na,27/18,Q1018,NULL
2006060315,SBKG,031500Z,15012KT,9999,na,na,SCT020,na,na,28/17,Q1017,NULL
2006060316,SBKG,031600Z,14012KT,9999,na,na,BKN023,na,na,28/17,Q1016,NULL
2006060317,SBKG,031700Z,15012KT,9999,na,na,SCT030,BKN300,na,29/17,Q1015,NULL
2006060318,SBKG,031800Z,13012KT,9999,na,na,FEW030,SCT300,na,28/17,Q1015,NULL
2006060319,SBKG,031900Z,15008KT,9999,na,na,FEW030,BKN300,na,27/18,Q1015,NULL
2006060320,SBKG,032000Z,15008KT,9999,na,na,FEW030,BKN300,na,26/17,Q1016,NULL
2006060321,SBKG,032100Z,14009KT,CAVOK,na,na,na,na,na,23/18,Q1016,NULL
2006060322,SBKG,032200Z,15010KT,CAVOK,na,na,na,na,na,22/19,Q1017,NULL
2006060323,SBKG,032300Z,15008KT,9999,na,na,FEW018,na,na,22/19,Q1018,NULL
2006060400,SBKG,040000Z,13006KT,9999,na,na,FEW018,na,na,21/19,Q1018,NULL
2006060401,SBKG,040100Z,13006KT,9999,na,na,FEW016,na,na,21/19,Q1018,NULL
2006060403,SBKG,040315Z,20006KT,9999,na,na,BKN017,na,na,21/20,Q1018,NULL
2006060404,SBKG,040400Z,18008KT,9999,na,na,BKN017,na,na,21/20,Q1017,NULL
2006060405,SBKG,040500Z,19010KT,9999,na,na,SCT015,na,na,21/20,Q1016,NULL
2006060406,SBKG,040600Z,19010KT,9999,na,na,SCT015,na,na,21/20,Q1016,NULL
2006060407,SBKG,040700Z,20004KT,9999,na,na,SCT015,na,na,20/19,Q1016,NULL
2006060408,SBKG,040800Z,20004KT,9999,na,na,SCT015,BKN100,na,21/19,Q1016,NULL
2006060409,SBKG,040900Z,19006KT,9999,na,na,SCT015,BKN100,na,21/19,Q1017,NULL
2006060410,SBKG,041000Z,17010KT,9999,na,na,SCT018,BKN100,na,21/19,Q1017,NULL
2006060411,SBKG,041100Z,16010KT,9999,na,na,SCT020,SCT100,na,23/19,Q1018,NULL
2006060412,SBKG,041200Z,16012KT,9999,na,na,SCT022,BKN100,na,24/18,Q1018,NULL
2006060413,SBKG,041300Z,16018KT,9999,na,na,SCT026,BKN100,na,25/17,Q1017,NULL
2006060414,SBKG,041400Z,15012KT,9999,na,na,BKN032,BKN100,na,26/18,Q1017,NULL
2006060415,SBKG,041500Z,13018KT,8000,na,na,BKN032,BKN100,na,25/19,Q1016,NULL
2006060416,SBKG,041600Z,15014KT,9999,na,na,BKN032,BKN100,na,26/19,Q1015,NULL
2006060417,SBKG,041700Z,15012KT,9999,na,na,BKN030,BKN100,na,25/19,Q1014,NULL
2006060418,SBKG,041800Z,15010KT,9999,na,na,BKN025,BKN100,na,25/18,Q1014,NULL
2006060419,SBKG,041900Z,15010KT,9999,na,na,BKN020,BKN100,na,25/19,Q1014,NULL
2006060420,SBKG,042000Z,15010KT,9999,na,na,FEW015,BKN020,BKN100,24/19,Q1014,NULL
2006060421,SBKG,042100Z,13008KT,9999,na,na,FEW010,BKN015,BKN100,23/19,Q1015,NULL
2006060503,SBKG,050315Z,16010KT,9999,na,na,FEW006,BKN010,BKN015,21/20,Q1015,NULL
2006060504,SBKG,050400Z,17006KT,9999,na,na,FEW006,BKN010,BKN016,21/20,Q1015,NULL
2006060504,SBKG,050415Z,16006KT,3000,-DZ,na,FEW006,BKN010,BKN016,21/21,Q1015,NULL
2006060505,SBKG,050500Z,15008KT,9000,na,na,FEW006,BKN010,BKN016,21/21,Q1014,NULL
2006060506,SBKG,050600Z,17004KT,9999,na,na,FEW006,BKN012,BKN016,21/21,Q1014,NULL
2006060507,SBKG,050700Z,14006KT,9999,na,na,FEW006,BKN014,BKN016,21/21,Q1014,NULL
2006060507,SBKG,050738Z,15006KT,4000,na,na,SCT006,BKN012,BKN015,21/21,Q1015,NULL
