Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2007060103,SBKG,010315Z,15008KT,9999,na,na,FEW014,BKN080,na,21/20,Q1018,NULL
2007060104,SBKG,010400Z,16004KT,9999,na,na,SCT018,BKN080,na,21/20,Q1018,NULL
2007060105,SBKG,010500Z,17004KT,9999,na,na,SCT018,BKN080,na,21/20,Q1017,NULL
2007060106,SBKG,010600Z,17006KT,9999,na,na,SCT016,BKN080,na,21/20,Q1017,NULL
2007060107,SBKG,010700Z,14010KT,9000,na,na,FEW009,SCT012,BKN080,20/20,Q1017,NULL
2007060108,SBKG,010800Z,16008KT,9999,na,na,FEW022,BKN080,na,20/20,Q1018,NULL
2007060109,SBKG,010900Z,12003KT,5000,RA,na,SCT018,BKN080,na,20/20,Q1018,NULL
2007060110,SBKG,011000Z,12002KT,9999,na,na,BKN018,SCT080,na,21/20,Q1018,NULL
2007060111,SBKG,011100Z,12006KT,9999,na,na,SCT012,BKN018,na,22/21,Q1019,NULL
2007060112,SBKG,011200Z,13009KT,9999,na,na,BKN016,SCT150,na,23/21,Q1019,NULL
2007060113,SBKG,011300Z,13010KT,9999,na,na,SCT020,na,na,27/20,Q1020,NULL
2007060114,SBKG,011400Z,12008KT,9999,na,na,SCT025,na,na,27/20,Q1019,NULL
2007060115,SBKG,011500Z,12008KT,9999,na,na,BKN030,na,na,29/19,Q1017,NULL
2007060116,SBKG,011600Z,13010KT,9999,na,na,BKN030,na,na,29/20,Q1016,NULL
2007060117,SBKG,011700Z,14010KT,9999,na,na,SCT030,na,na,29/20,Q1016,NULL
2007060118,SBKG,011800Z,13012KT,9999,na,na,SCT030,BKN300,na,29/20,Q1016,NULL
2007060119,SBKG,011900Z,15014KT,4000,na,na,BKN020,FEW030TCU,na,28/21,Q1016,NULL
2007060120,SBKG,012000Z,15008KT,9999,na,na,SCT018,BKN100,na,23/21,Q1017,NULL
2007060121,SBKG,012100Z,15006KT,9999,na,na,SCT018,BKN100,na,22/21,Q1017,NULL
2007060122,SBKG,012200Z,12002KT,9999,na,na,SCT015,na,na,22/20,Q1017,NULL
2007060123,SBKG,012300Z,13002KT,9999,na,na,SCT015,na,na,21/20,Q1018,NULL
2007060203,SBKG,020315Z,15004KT,9999,na,na,SCT010,BKN015,BKN100,21/21,Q1017,NULL
2007060204,SBKG,020400Z,13006KT,6000,-RA,na,SCT007,BKN010,BKN100,21/21,Q1017,NULL
2007060204,SBKG,020440Z,15004KT,4500,BR,na,SCT007,BKN010,BKN015,21/21,Q1016,NULL
2007060205,SBKG,020500Z,15006KT,4000,BR,na,SCT007,BKN010,BKN012,21/21,Q1016,NULL
2007060206,SBKG,020600Z,12004KT,5000,-RA,na,BKN010,BKN012,na,21/21,Q1016,NULL
2007060207,SBKG,020700Z,12004KT,5000,na,na,SCT004,BKN008,BKN012,21/21,Q1016,NULL
2007060208,SBKG,020800Z,12006KT,5000,BR,na,SCT004,BKN008,BKN015,21/21,Q1016,NULL
2007060209,SBKG,020900Z,15004KT,2500,BR,na,SCT006,BKN010,OVC070,21/21,Q1017,NULL
2007060210,SBKG,021000Z,16006KT,8000,-RA,na,SCT008,BKN012,na,21/20,Q1017,NULL
2007060211,SBKG,021100Z,13004KT,6000,-RA,na,SCT008,BKN012,na,21/21,Q1018,NULL
2007060212,SBKG,021200Z,14002KT,8000,-RA,na,SCT008,BKN012,na,22/22,Q1018,NULL
2007060213,SBKG,021300Z,14008KT,9000,na,na,SCT008,BKN014,na,23/22,Q1018,NULL
2007060214,SBKG,021400Z,14006KT,9999,na,na,SCT015,BKN020,na,24/23,Q1018,NULL
2007060215,SBKG,021500Z,12004KT,9999,na,na,SCT015,BKN020,na,25/22,Q1017,NULL
2007060215,SBKG,021523Z,12006KT,2000,-RA,BR,SCT006,BKN010,na,24/20,Q1017,NULL
2007060216,SBKG,021600Z,12006KT,8000,na,na,FEW006,BKN010,BKN090,23/22,Q1016,NULL
2007060217,SBKG,021700Z,12003KT,8000,-RA,BR,FEW006,BKN010,BKN090,23/22,Q1016,NULL
2007060218,SBKG,021800Z,12006KT,5000,-RA,BR,FEW006,BKN010,BKN097,23/22,Q1015,NULL
2007060219,SBKG,021900Z,12006KT,5000,-RA,BR,FEW006,BKN010,OVC090,23/22,Q1015,NULL
2007060220,SBKG,022000Z,12004KT,8000,na,na,FEW006,BKN010,na,22/21,Q1016,NULL
2007060221,SBKG,022100Z,12003KT,8000,-RA,BR,FEW006,BKN010,na,22/21,Q1016,NULL
2007060303,SBKG,030315Z,18004KT,9999,na,na,SCT015,BKN020,na,21/21,Q1016,NULL
2007060304,SBKG,030400Z,15004KT,5000,na,na,SCT010,BKN015,na,21/21,Q1016,NULL
2007060305,SBKG,030500Z,18002KT,5000,na,na,SCT010,BKN014,na,21/21,Q1016,NULL
2007060306,SBKG,030600Z,14002KT,6000,na,na,SCT008,BKN013,na,21/21,Q1015,NULL
2007060307,SBKG,030700Z,19002KT,5000,na,na,SCT006,BKN012,na,21/21,Q1016,NULL
2007060308,SBKG,030800Z,19004KT,5000,na,na,SCT006,BKN015,na,21/21,Q1016,NULL
2007060309,SBKG,030900Z,00000KT,9000,na,na,SCT015,BKN020,na,21/21,Q1016,NULL
2007060310,SBKG,031000Z,22004KT,9000,BR,na,FEW006,SCT010,BKN018,21/20,Q1017,NULL
2007060311,SBKG,031100Z,25004KT,9999,na,na,SCT015,BKN020,na,21/20,Q1017,NULL
2007060312,SBKG,031200Z,22006KT,9999,na,na,SCT015,BKN020,na,21/20,Q1018,NULL
2007060313,SBKG,031300Z,20002KT,9999,na,na,SCT015,BKN020,na,22/21,Q1018,NULL
2007060314,SBKG,031400Z,16004KT,9999,na,na,SCT015,BKN020,BKN100,24/20,Q1018,NULL
2007060315,SBKG,031500Z,15006KT,9999,na,na,BKN020,BKN100,na,25/21,Q1017,NULL
2007060316,SBKG,031600Z,19006KT,9999,na,na,BKN020,BKN100,na,27/21,Q1016,NULL
2007060317,SBKG,031700Z,13006KT,9999,na,na,BKN020,BKN100,na,27/21,Q1015,NULL
2007060318,SBKG,031800Z,10006KT,9999,na,na,BKN020,BKN100,na,26/22,Q1015,NULL
