Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2004060100,SBKG,010000Z,12004KT,CAVOK,na,na,na,na,na,22/20,Q1017,NULL
2004060101,SBKG,010100Z,13004KT,9999,na,na,FEW018,BKN100,na,22/20,Q1017,NULL
2004060102,SBKG,010200Z,15003KT,9999,na,na,SCT016,BKN100,na,22/20,Q1017,NULL
2004060103,SBKG,010300Z,00000KT,9999,na,na,FEW016,BKN100,na,21/20,Q1016,NULL
2004060104,SBKG,010400Z,00000KT,9999,na,na,BKN015,BKN080,na,21/20,Q1016,NULL
2004060104,SBKG,010425Z,00000KT,7000,na,na,SCT008,BKN010,na,21/21,Q1016,NULL
2004060105,SBKG,010500Z,00000KT,6000,na,na,SCT007,BKN010,na,21/21,Q1016,NULL
2004060106,SBKG,010600Z,00000KT,6000,na,na,BKN010,na,na,21/21,Q1015,NULL
2004060107,SBKG,010700Z,00000KT,6000,na,na,BKN011,na,na,21/21,Q1015,NULL
2004060108,SBKG,010800Z,00000KT,6000,na,na,FEW005,BKN012,na,21/21,Q1016,NULL
2004060108,SBKG,010830Z,00000KT,7000,na,na,FEW005,SCT010,BKN080,21/21,Q1016,NULL
2004060109,SBKG,010900Z,13003KT,7000,na,na,SCT010,BKN016,BKN080,21/21,Q1016,NULL
2004060109,SBKG,010940Z,13002KT,4500,na,na,SCT006,BKN010,BKN015,21/21,Q1017,NULL
2004060110,SBKG,011000Z,15002KT,5000,na,na,SCT006,SCT010,BKN016,22/21,Q1017,NULL
2004060116,SBKG,011600Z,14006KT,9999,na,na,SCT020,BKN100,BKN300,26/20,Q1016,NULL
2004060208,SBKG,020800Z,18006KT,6000,na,na,BKN010,BKN080,na,21/20,Q1017,NULL
2004060208,SBKG,020815Z,18002KT,6000,na,na,SCT008,BKN090,na,21/20,Q1017,NULL
2004060209,SBKG,020900Z,21002KT,6000,NSC,na,na,na,na,21/20,Q1017,NULL
2004060210,SBKG,021000Z,00000KT,8000,NSC,na,na,na,na,22/20,Q1018,NULL
2004060216,SBKG,021600Z,07004KT,9999,na,na,BKN020,na,na,29/19,Q1017,NULL
2004060217,SBKG,021700Z,12006KT,9999,na,na,SCT020,na,na,29/19,Q1016,NULL
2004060218,SBKG,021800Z,12007KT,9999,na,na,SCT020,na,na,28/20,Q1016,NULL
2004060219,SBKG,021900Z,12004KT,9999,na,na,SCT020,na,na,28/20,Q1016,NULL
2004060220,SBKG,022000Z,12006KT,9999,na,na,SCT020,FEW025TCU,na,27/21,Q1016,NULL
2004060221,SBKG,022100Z,12006KT,9999,na,na,FEW015,SCT018,BKN100,24/20,Q1017,NULL
2004060222,SBKG,022200Z,12005KT,9999,na,na,FEW015,SCT018,na,24/20,Q1017,NULL
2004060223,SBKG,022300Z,12006KT,9999,na,na,FEW015,na,na,23/20,Q1018,NULL
2004060300,SBKG,030000Z,13006KT,9999,na,na,FEW015,na,na,22/20,Q1018,NULL
2004060301,SBKG,030100Z,13006KT,9999,na,na,FEW015,na,na,22/20,Q1018,NULL
2004060302,SBKG,030200Z,12006KT,9999,na,na,SCT015,SCT100,na,21/20,Q1018,NULL
2004060303,SBKG,030300Z,14006KT,9999,na,na,SCT015,BKN100,na,21/20,Q1018,NULL
2004060304,SBKG,030400Z,13004KT,8000,na,na,SCT006,BKN015,BKN100,21/20,Q1017,NULL
2004060305,SBKG,030500Z,15008KT,7000,na,na,SCT006,BKN015,na,21/20,Q1017,NULL
2004060306,SBKG,030600Z,16006KT,9999,na,na,SCT006,BKN015,BKN090,22/20,Q1017,NULL
