Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2005060100,SBKG,010000Z,13004KT,9999,na,na,FEW005,BKN018,na,21/20,Q1018,NULL
2005060101,SBKG,010100Z,14005KT,9999,na,na,BKN017,na,na,21/20,Q1018,NULL
2005060102,SBKG,010200Z,14004KT,5000,-RA,na,BKN010,BKN070,na,21/21,Q1017,NULL
2005060103,SBKG,010300Z,14007KT,3000,-RA,na,BKN006,BKN010,na,21/21,Q1017,NULL
2005060109,SBKG,010900Z,12007KT,2000,-RA,BR,SCT006,BKN010,OVC070,21/21,Q1017,NULL
2005060109,SBKG,010940Z,12006KT,1000,na,na,OVC006,na,na,21/21,Q1017,NULL
2005060110,SBKG,011000Z,14006KT,2000,na,na,OVC006,na,na,21/21,Q1017,NULL
2005060111,SBKG,011100Z,15010KT,5000,-DZ,na,SCT008,SCT012,OVC070,22/21,Q1018,NULL
2005060112,SBKG,011200Z,13008KT,5000,-RA,na,SCT008,BKN014,OVC070,22/21,Q1018,NULL
2005060113,SBKG,011300Z,15015KT,9999,na,na,SCT014,BKN015,BKN090,23/22,Q1018,NULL
2005060114,SBKG,011400Z,14014KT,9999,na,na,SCT014,BKN017,BKN100,24/21,Q1017,NULL
2005060115,SBKG,011500Z,15012KT,9999,na,na,BKN017,BKN100,na,24/21,Q1016,NULL
2005060116,SBKG,011600Z,18015KT,3000,-RA,na,BKN015,BKN070,na,24/22,Q1016,NULL
2005060116,SBKG,011630Z,17009KT,8000,-RA,na,SCT015,BKN080,na,24/22,Q1015,NULL
2005060117,SBKG,011700Z,16012KT,9999,na,na,SCT015,BKN080,na,24/21,Q1015,NULL
2005060118,SBKG,011800Z,17008KT,9999,na,na,SCT015,BKN080,na,25/21,Q1015,NULL
2005060119,SBKG,011900Z,16008KT,9000,na,na,BKN016,na,na,24/21,Q1015,NULL
2005060120,SBKG,012000Z,18005KT,9999,na,na,SCT016,FEW023TCU,na,23/21,Q1015,NULL
2005060121,SBKG,012100Z,16004KT,9999,na,na,SCT017,na,na,22/21,Q1015,NULL
2005060122,SBKG,012200Z,13006KT,9999,na,na,FEW015,na,na,22/21,Q1016,NULL
2005060123,SBKG,012300Z,13004KT,9999,na,na,SCT010,na,na,22/21,Q1016,NULL
2005060200,SBKG,020000Z,15006KT,9999,na,na,SCT010,na,na,22/21,Q1017,NULL
2005060201,SBKG,020100Z,13005KT,9999,na,na,FEW006,SCT010,na,22/21,Q1016,NULL
2005060202,SBKG,020200Z,15005KT,9999,na,na,FEW006,SCT010,na,22/21,Q1016,NULL
2005060203,SBKG,020300Z,15004KT,8000,-RA,na,SCT006,SCT010,na,21/20,Q1016,NULL
2005060209,SBKG,020900Z,18004KT,2500,na,na,SCT005,BKN010,na,21/21,Q1016,NULL
2005060209,SBKG,020925Z,15002KT,6000,na,na,SCT005,SCT010,BKN080,21/21,Q1016,NULL
2005060210,SBKG,021000Z,15003KT,5000,BR,na,SCT005,SCT010,OVC080,21/21,Q1016,NULL
2005060210,SBKG,021015Z,16006KT,3000,-RA,na,SCT005,BKN010,OVC070,22/21,Q1016,NULL
2005060211,SBKG,021100Z,16004KT,5000,-RA,na,BKN010,OVC070,na,22/21,Q1017,NULL
2005060212,SBKG,021200Z,17006KT,2000,na,na,OVC007,na,na,22/21,Q1017,NULL
2005060213,SBKG,021300Z,16006KT,5000,na,na,SCT007,BKN010,BKN070,22/21,Q1017,NULL
2005060213,SBKG,021330Z,09009KT,2000,na,na,BKN007,BKN010,OVC070,22/21,Q1017,NULL
