Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2016061317,SBKG,131700Z,13012KT,na,olarrr,na,na,na,na,na,28/14,Q1020,na
2016061318,SBKG,131800Z,11013KT,na,olarrr,na,na,na,na,na,28/15,Q1019,na
2016061319,SBKG,131900Z,14012KT,na,olarrr,na,na,FEW044,na,na,27/17,Q1019,na
2016061319,SBKG,131945Z,13011KT,na,olarrr,na,na,na,na,na,26/19,Q1020,na
2016061402,SBKG,140215Z,29002KT,na,olarrr,na,na,na,na,na,20/17,Q1022,na
2016061403,SBKG,140300Z,11002KT,na,olarrr,na,na,na,na,na,20/18,Q1021,na
2016061404,SBKG,140400Z,15004KT,na,olarrr,na,na,SCT018,na,na,20/18,Q1021,na
2016061405,SBKG,140500Z,17005KT,na,olarrr,na,na,SCT018,na,na,20/18,Q1021,na
2016061406,SBKG,140600Z,25002KT,na,olarrr,na,na,na,na,na,19/18,Q1020,na
2016061407,SBKG,140700Z,15004KT,na,olarrr,na,na,na,na,na,20/18,Q1021,na
2016061408,SBKG,140800Z,14003KT,na,olarrr,na,na,na,na,na,19/18,Q1021,na
2016061409,SBKG,140900Z,15002KT,na,olarrr,na,na,SCT015,na,na,20/18,Q1021,na
2016061410,SBKG,141000Z,16006KT,na,olarrr,na,na,na,na,na,21/19,Q1021,na
2016061411,SBKG,141100Z,15007KT,na,olarrr,na,na,BKN017,na,na,23/19,Q1022,na
2016061412,SBKG,141200Z,14012KT,na,olarrr,na,na,BKN020,na,na,25/19,Q1023,na
2016061413,SBKG,141300Z,14012KT,na,olarrr,na,na,BKN023,na,na,24/18,Q1023,na
2016061414,SBKG,141400Z,13014KT,na,olarrr,na,na,BKN015,BKN020,na,24/19,Q1022,na
2016061415,SBKG,141500Z,14008KT,na,olarrr,na,na,BKN037,na,na,24/19,Q1022,na
2016061416,SBKG,141600Z,13011KT,na,olarrr,na,na,BKN038,SCT070,na,27/18,Q1020,na
2016061417,SBKG,141700Z,11011KT,na,olarrr,na,na,BKN041,SCT070,na,27/18,Q1019,na
2016061418,SBKG,141800Z,11013KT,na,olarrr,na,na,BKN037,na,na,26/18,Q1019,na
2016061419,SBKG,141900Z,08008KT,na,olarrr,na,na,BKN036,na,na,24/19,Q1020,na
2016061419,SBKG,141945Z,07009KT,na,olarrr,na,na,SCT040,FEW050TCU,na,23/20,Q1021,na
2016061502,SBKG,150215Z,14005KT,na,olarrr,na,na,SCT013,SCT021,na,21/19,Q1022,na
2016061503,SBKG,150300Z,14006KT,na,olarrr,na,na,FEW013,SCT021,na,21/19,Q1022,na
2016061504,SBKG,150400Z,16003KT,na,olarrr,na,na,FEW011,na,na,20/19,Q1021,na
2016061505,SBKG,150500Z,16002KT,na,olarrr,na,na,FEW011,na,na,20/19,Q1021,na
2016061506,SBKG,150600Z,15004KT,na,olarrr,na,na,FEW015,na,na,20/18,Q1020,na
2016061507,SBKG,150700Z,20002KT,na,olarrr,na,na,FEW013,na,na,19/18,Q1020,na
2016061508,SBKG,150800Z,00000KT,na,olarrr,na,na,SCT011,na,na,19/18,Q1021,na
2016061509,SBKG,150900Z,20003KT,na,olarrr,na,na,FEW015,na,na,19/18,Q1021,na
2016061510,SBKG,151000Z,15003KT,na,olarrr,na,na,na,na,na,20/19,Q1022,na
2016061511,SBKG,151100Z,16006KT,na,olarrr,na,na,BKN019,na,na,22/19,Q1022,na
2016061512,SBKG,151200Z,13013KT,na,olarrr,na,na,BKN020,na,na,24/18,Q1023,na
2016061513,SBKG,151300Z,15012KT,na,olarrr,na,na,BKN020,na,na,26/18,Q1022,na
2016061514,SBKG,151400Z,13013KT,na,olarrr,na,na,SCT020,na,na,26/17,Q1022,na
2016061515,SBKG,151500Z,14012KT,na,olarrr,na,na,SCT040,na,na,27/17,Q1020,na
2016061516,SBKG,151600Z,14013KT,na,olarrr,na,na,SCT040,na,na,28/16,Q1020,na
2016061517,SBKG,151700Z,14012KT,na,olarrr,na,na,SCT048,na,na,28/16,Q1019,na
2016061518,SBKG,151800Z,12015KT,na,olarrr,na,na,SCT041,na,na,27/18,Q1019,na
2016061519,SBKG,151900Z,12014KT,na,olarrr,na,na,SCT035,na,na,26/18,Q1019,na
2016061519,SBKG,151945Z,14012KT,na,olarrr,na,na,FEW030,na,na,25/18,Q1020,na
2016061602,SBKG,160215Z,11004KT,na,olarrr,na,na,SCT011,na,na,20/18,Q1021,na
2016061603,SBKG,160300Z,11002KT,na,olarrr,na,na,FEW010,na,na,19/18,Q1021,na
2016061604,SBKG,160400Z,11004KT,na,olarrr,na,na,na,na,na,19/18,Q1020,na
2016061605,SBKG,160500Z,15004KT,na,olarrr,na,na,na,na,na,19/18,Q1020,na
2016061606,SBKG,160600Z,16003KT,na,olarrr,na,na,na,na,na,19/18,Q1019,na
2016061607,SBKG,160700Z,15003KT,na,olarrr,na,na,SCT005,BKN010,na,19/19,Q1019,na
2016061608,SBKG,160800Z,00000KT,na,olarrr,na,na,FEW005,BKN013,na,19/19,Q1019,na
2016061609,SBKG,160900Z,00000KT,na,olarrr,na,na,SCT006,BKN012,na,19/19,Q1020,na
2016061609,SBKG,160940Z,VRB02KT,na,olarrr,na,na,SCT006,SCT012,na,20/19,Q1020,na
2016061610,SBKG,161000Z,VRB02KT,na,olarrr,na,na,FEW006,SCT012,na,20/19,Q1020,na
2016061611,SBKG,161100Z,16007KT,na,olarrr,na,na,SCT015,na,na,22/19,Q1021,na
2016061612,SBKG,161200Z,16008KT,na,olarrr,na,na,BKN020,na,na,23/19,Q1022,na
2016061613,SBKG,161300Z,17010KT,na,olarrr,na,na,BKN028,na,na,25/18,Q1021,na
2016061614,SBKG,161400Z,14013KT,na,olarrr,na,na,SCT037,na,na,27/17,Q1020,na
2016061615,SBKG,161500Z,14013KT,na,olarrr,na,na,SCT040,na,na,27/17,Q1019,na
2016061616,SBKG,161600Z,14013KT,na,olarrr,na,na,SCT040,na,na,28/16,Q1018,na
2016061617,SBKG,161700Z,13011KT,na,olarrr,na,na,SCT040,na,na,29/16,Q1017,na
2016061618,SBKG,161800Z,13010KT,na,olarrr,na,na,SCT040,na,na,28/15,Q1017,na
2016061619,SBKG,161900Z,13013KT,na,olarrr,na,na,FEW030,na,na,27/15,Q1018,na
2016061620,SBKG,162000Z,13010KT,na,olarrr,na,na,na,na,na,26/18,Q1018,na
2016061620,SBKG,162015Z,13009KT,na,olarrr,na,na,na,na,na,25/18,Q1018,na
2016061700,SBKG,170015Z,11005KT,na,olarrr,na,na,na,na,na,21/19,Q1020,na
2016061701,SBKG,170100Z,11005KT,na,olarrr,na,na,na,na,na,21/19,Q1020,na
2016061702,SBKG,170200Z,09005KT,na,olarrr,na,na,na,na,na,20/19,Q1020,na
2016061703,SBKG,170300Z,09004KT,na,olarrr,na,na,na,na,na,20/19,Q1020,na
2016061704,SBKG,170400Z,11005KT,na,olarrr,na,na,na,na,na,20/19,Q1019,na
2016061705,SBKG,170500Z,14004KT,na,olarrr,na,na,SCT010,na,na,19/18,Q1018,na
2016061705,SBKG,170530Z,17002KT,na,olarrr,na,na,BKN010,na,na,19/18,Q1018,na
2016061706,SBKG,170600Z,16004KT,na,olarrr,na,na,SCT010,BKN015,na,19/19,Q1018,na
2016061707,SBKG,170700Z,17005KT,na,olarrr,na,na,FEW006,SCT008,na,19/19,Q1018,na
2016061708,SBKG,170800Z,17005KT,na,olarrr,na,na,SCT005,BKN018,na,19/19,Q1018,na
2016061709,SBKG,170900Z,13003KT,na,olarrr,na,na,na,na,na,19/18,Q1018,na
2016061710,SBKG,171000Z,17007KT,na,olarrr,na,na,SCT018,na,na,20/19,Q1019,na
2016061711,SBKG,171100Z,16007KT,na,olarrr,na,na,SCT020,na,na,22/19,Q1019,na
2016061712,SBKG,171200Z,14012KT,na,olarrr,na,na,FEW040,na,na,24/17,Q1020,na
2016061713,SBKG,171300Z,15012KT,na,olarrr,na,na,FEW040,na,na,25/16,Q1019,na
2016061714,SBKG,171400Z,15011KT,na,olarrr,na,na,na,na,na,27/15,Q1019,na
2016061715,SBKG,171500Z,12009KT,na,olarrr,na,na,na,na,na,28/15,Q1018,na
2016061716,SBKG,171600Z,11009KT,na,olarrr,na,na,SCT046,na,na,28/16,Q1017,na
2016061717,SBKG,171700Z,14010KT,na,olarrr,na,na,SCT046,na,na,28/17,Q1016,na
2016061718,SBKG,171800Z,14011KT,na,olarrr,na,na,na,na,na,28/16,Q1016,na
2016061719,SBKG,171900Z,13009KT,na,olarrr,na,na,SCT046,na,na,27/17,Q1016,na
2016061720,SBKG,172000Z,13011KT,na,olarrr,na,na,na,na,na,26/17,Q1017,na
2016061721,SBKG,172100Z,13008KT,na,olarrr,na,na,na,na,na,24/17,Q1017,na
2016061722,SBKG,172200Z,11007KT,na,olarrr,na,na,na,na,na,23/17,Q1018,na
2016061722,SBKG,172225Z,11008KT,na,olarrr,na,na,na,na,na,23/17,Q1018,na
2016061802,SBKG,180215Z,13005KT,na,olarrr,na,na,na,na,na,20/19,Q1020,na
2016061803,SBKG,180300Z,13004KT,na,olarrr,na,na,na,na,na,20/18,Q1019,na
2016061804,SBKG,180400Z,14002KT,na,olarrr,na,na,na,na,na,20/19,Q1019,na
2016061805,SBKG,180500Z,13002KT,na,olarrr,na,na,BKN015,na,na,20/19,Q1018,na
2016061806,SBKG,180600Z,11001KT,na,olarrr,na,na,SCT015,na,na,20/19,Q1018,na
2016061807,SBKG,180700Z,12004KT,na,olarrr,na,na,SCT015,na,na,19/18,Q1018,na
2016061808,SBKG,180800Z,13003KT,na,olarrr,na,na,SCT015,na,na,20/19,Q1018,na
2016061809,SBKG,180900Z,10004KT,na,olarrr,na,na,SCT015,na,na,20/19,Q1019,na
2016061810,SBKG,181000Z,11004KT,na,olarrr,na,na,na,na,na,21/20,Q1019,na
2016061811,SBKG,181100Z,11008KT,na,olarrr,na,na,FEW016,na,na,23/19,Q1020,na
2016061812,SBKG,181200Z,11013KT,na,olarrr,na,na,FEW018,na,na,25/16,Q1020,na
2016061813,SBKG,181300Z,13011KT,na,olarrr,na,na,SCT033,na,na,26/18,Q1020,na
2016061814,SBKG,181400Z,13010KT,na,olarrr,na,na,SCT043,na,na,27/16,Q1019,na
2016061815,SBKG,181500Z,13010KT,na,olarrr,na,na,SCT043,na,na,28/16,Q1019,na
2016061816,SBKG,181600Z,11011KT,na,olarrr,na,na,SCT047,na,na,28/15,Q1017,na
2016061817,SBKG,181700Z,13011KT,na,olarrr,na,na,BKN047,na,na,27/16,Q1017,na
2016061818,SBKG,181800Z,12011KT,na,olarrr,na,na,SCT040,na,na,28/17,Q1017,na
2016061819,SBKG,181900Z,11009KT,na,olarrr,na,na,FEW040,na,na,28/16,Q1017,na
2016061819,SBKG,181945Z,11013KT,na,olarrr,na,na,FEW040,na,na,26/17,Q1017,na
2016061902,SBKG,190215Z,11004KT,na,olarrr,na,na,na,na,na,20/18,Q1020,na
2016061903,SBKG,190300Z,12004KT,na,olarrr,na,na,na,na,na,20/18,Q1020,na
2016061904,SBKG,190400Z,14003KT,na,olarrr,na,na,na,na,na,20/18,Q1019,na
2016061905,SBKG,190500Z,13002KT,na,olarrr,na,na,na,na,na,19/18,Q1019,na
2016061906,SBKG,190600Z,15003KT,na,olarrr,na,na,na,na,na,20/19,Q1018,na
2016061907,SBKG,190700Z,15003KT,na,olarrr,na,na,na,na,na,20/19,Q1018,na
2016061908,SBKG,190800Z,15004KT,na,olarrr,na,na,na,na,na,20/19,Q1019,na
2016061909,SBKG,190900Z,00000KT,na,olarrr,na,na,BKN021,na,na,20/19,Q1019,na
2016061910,SBKG,191000Z,00000KT,na,olarrr,na,na,FEW011,BKN026,na,21/20,Q1020,na
2016061911,SBKG,191100Z,17006KT,na,olarrr,na,na,FEW013,BKN027,na,22/20,Q1020,na
2016061912,SBKG,191200Z,14012KT,na,olarrr,na,na,BKN017,na,na,24/19,Q1020,na
2016061913,SBKG,191300Z,15008KT,na,olarrr,na,na,BKN033,na,na,25/19,Q1020,na
2016061914,SBKG,191400Z,14011KT,na,olarrr,na,na,BKN030,na,na,27/20,Q1019,na
2016061915,SBKG,191500Z,12014KT,na,olarrr,na,na,BKN036,na,na,28/19,Q1018,na
2016061916,SBKG,191600Z,10012KT,na,olarrr,na,na,BKN039,na,na,28/19,Q1017,na
2016061917,SBKG,191700Z,11012KT,na,olarrr,na,na,BKN037,na,na,27/19,Q1017,na
2016061918,SBKG,191800Z,11014KT,na,olarrr,na,na,BKN031,na,na,28/20,Q1017,na
2016061919,SBKG,191900Z,12015KT,na,olarrr,na,na,SCT033,na,na,27/19,Q1017,na
2016061920,SBKG,192000Z,10012KT,na,olarrr,na,na,FEW026,FEW040TCU,na,25/20,Q1017,na
2016061921,SBKG,192100Z,10012KT,na,olarrr,na,na,SCT018,na,na,23/20,Q1018,na
2016061922,SBKG,192200Z,10009KT,na,olarrr,na,na,SCT011,BKN015,na,23/21,Q1018,na
2016061923,SBKG,192300Z,10009KT,na,olarrr,na,na,SCT010,SCT015,na,22/20,Q1019,na
2016062000,SBKG,200000Z,11008KT,na,olarrr,na,na,BKN026,na,na,22/20,Q1019,na
2016062001,SBKG,200100Z,11006KT,na,olarrr,na,na,SCT011,BKN016,na,22/20,Q1020,na
2016062001,SBKG,200140Z,11009KT,na,olarrr,-RA,na,SCT005,BKN008,BKN016,21/20,Q1019,na
2016062002,SBKG,200200Z,12014KT,na,olarrr,-RA,na,SCT005,BKN008,BKN017,21/21,Q1019,na
2016062002,SBKG,200225Z,11006KT,na,olarrr,na,na,SCT015,BKN018,na,21/20,Q1019,na
2016062003,SBKG,200300Z,12005KT,na,olarrr,na,na,FEW010,BKN022,na,21/20,Q1019,na
2016062004,SBKG,200400Z,12004KT,na,olarrr,na,na,FEW011,SCT018,na,21/20,Q1018,na
2016062005,SBKG,200500Z,15006KT,na,olarrr,na,na,FEW011,SCT027,BKN080,21/20,Q1018,na
2016062006,SBKG,200600Z,15004KT,na,olarrr,na,na,SCT008,BKN016,FEW025TCU,21/20,Q1017,na
2016062006,SBKG,200620Z,15005KT,na,olarrr,-DZ,na,SCT005,BKN008,na,20/20,Q1017,na
2016062007,SBKG,200700Z,13006KT,na,olarrr,na,na,FEW003,SCT029,na,20/20,Q1017,na
2016062008,SBKG,200800Z,11005KT,na,olarrr,-RA,na,SCT004,BKN006,BKN018,20/20,Q1018,na
2016062009,SBKG,200900Z,12006KT,na,olarrr,na,na,SCT004,SCT015,BKN018,20/20,Q1018,na
2016062010,SBKG,201000Z,09005KT,na,olarrr,na,na,SCT004,SCT015,BKN018,21/20,Q1019,na
2016062011,SBKG,201100Z,14005KT,na,olarrr,-RA,BR,BKN004,BKN010,BKN015,21/20,Q1020,na
2016062011,SBKG,201115Z,14008KT,na,olarrr,na,na,FEW004,SCT011,BKN015,22/21,Q1020,na
2016062012,SBKG,201200Z,13008KT,na,olarrr,na,na,SCT015,BKN020,na,23/20,Q1020,na
2016062013,SBKG,201300Z,14009KT,na,olarrr,na,na,BKN020,na,na,23/21,Q1020,na
2016062014,SBKG,201400Z,13011KT,na,olarrr,na,na,BKN021,na,na,25/19,Q1019,na
2016062015,SBKG,201500Z,11015KT,na,olarrr,na,na,SCT026,na,na,26/19,Q1018,na
2016062016,SBKG,201600Z,12013KT,na,olarrr,na,na,BKN033,na,na,26/19,Q1018,na
2016062017,SBKG,201700Z,12010KT,na,olarrr,na,na,BKN046,na,na,27/18,Q1017,na
2016062018,SBKG,201800Z,11008KT,na,olarrr,na,na,SCT041,na,na,27/18,Q1016,na
2016062019,SBKG,201900Z,10012KT,na,olarrr,na,na,BKN038,na,na,25/18,Q1016,na
2016062019,SBKG,201945Z,12010KT,na,olarrr,na,na,SCT036,na,na,25/18,Q1017,na
2016062102,SBKG,210215Z,15004KT,na,olarrr,na,na,na,na,na,19/18,Q1019,na
2016062103,SBKG,210300Z,23002KT,na,olarrr,na,na,SCT017,na,na,19/18,Q1019,na
2016062104,SBKG,210400Z,13002KT,na,olarrr,na,na,FEW016,na,na,20/18,Q1019,na
2016062105,SBKG,210500Z,15002KT,na,olarrr,na,na,SCT011,na,na,19/18,Q1018,na
2016062106,SBKG,210600Z,18004KT,na,olarrr,na,na,SCT011,BKN017,na,18/18,Q1018,na
2016062107,SBKG,210700Z,20003KT,na,olarrr,na,na,SCT011,na,na,19/18,Q1018,na
2016062108,SBKG,210800Z,17004KT,na,olarrr,na,na,SCT019,na,na,19/18,Q1018,na
2016062109,SBKG,210900Z,20003KT,na,olarrr,na,na,SCT016,na,na,19/18,Q1019,na
2016062110,SBKG,211000Z,21005KT,na,olarrr,na,na,FEW015,na,na,20/19,Q1019,na
2016062111,SBKG,211100Z,16008KT,na,olarrr,na,na,SCT020,na,na,23/19,Q1020,na
2016062112,SBKG,211200Z,17009KT,na,olarrr,na,na,na,na,na,24/18,Q1020,na
2016062113,SBKG,211300Z,15009KT,na,olarrr,na,na,na,na,na,25/18,Q1020,na
2016062114,SBKG,211400Z,15007KT,na,olarrr,na,na,FEW036,SCT100,na,27/18,Q1019,na
2016062115,SBKG,211500Z,12009KT,na,olarrr,na,na,SCT040,na,na,27/17,Q1018,na
2016062116,SBKG,211600Z,15008KT,na,olarrr,na,na,SCT040,na,na,28/17,Q1017,na
2016062117,SBKG,211700Z,16003KT,na,olarrr,na,na,SCT040,na,na,28/17,Q1016,na
2016062118,SBKG,211800Z,11011KT,na,olarrr,na,na,FEW040,na,na,29/17,Q1016,na
2016062119,SBKG,211900Z,12011KT,na,olarrr,na,na,na,na,na,28/17,Q1016,na
2016062119,SBKG,211945Z,13011KT,na,olarrr,na,na,na,na,na,27/17,Q1017,na
2016062202,SBKG,220215Z,14008KT,na,olarrr,na,na,BKN040,na,na,22/19,Q1019,na
2016062203,SBKG,220300Z,14008KT,na,olarrr,na,na,BKN040,na,na,22/19,Q1019,na
2016062204,SBKG,220400Z,17007KT,na,olarrr,na,na,BKN039,BKN070,na,22/19,Q1018,na
2016062205,SBKG,220500Z,19007KT,na,olarrr,na,na,SCT007,BKN012,BKN100,21/20,Q1018,na
2016062206,SBKG,220600Z,17010KT,na,olarrr,na,na,BKN006,BKN012,na,21/20,Q1018,na
2016062207,SBKG,220700Z,15009KT,na,olarrr,na,na,BKN007,na,na,21/20,Q1018,na
2016062208,SBKG,220800Z,16006KT,na,olarrr,na,na,BKN007,na,na,21/20,Q1018,na
2016062209,SBKG,220900Z,13007KT,na,olarrr,BR,na,BKN015,na,na,21/20,Q1019,na
2016062210,SBKG,221000Z,13008KT,na,olarrr,na,na,SCT010,BKN015,na,21/20,Q1019,na
2016062211,SBKG,221100Z,15009KT,na,olarrr,BR,na,BKN010,BKN015,na,22/20,Q1020,na
2016062212,SBKG,221200Z,15006KT,na,olarrr,-RA,na,SCT007,BKN010,na,21/21,Q1021,na
2016062213,SBKG,221300Z,16009KT,na,olarrr,na,na,SCT007,BKN010,na,22/21,Q1020,na
2016062213,SBKG,221330Z,16010KT,na,olarrr,na,na,SCT010,BKN015,na,22/21,Q1020,na
2016062214,SBKG,221400Z,14011KT,na,olarrr,na,na,SCT010,BKN015,na,22/21,Q1020,na
2016062214,SBKG,221430Z,11011KT,na,olarrr,-RA,na,SCT007,BKN014,na,22/21,Q1020,na
2016062215,SBKG,221500Z,10008KT,na,olarrr,na,na,SCT007,BKN013,na,22/21,Q1019,na
2016062216,SBKG,221600Z,11011KT,na,olarrr,-RA,na,SCT007,BKN024,na,23/21,Q1019,na
2016062217,SBKG,221700Z,13009KT,na,olarrr,na,na,SCT011,BKN033,na,22/21,Q1018,na
2016062218,SBKG,221800Z,10011KT,na,olarrr,na,na,FEW015,BKN023,BKN070,23/20,Q1018,na
2016062218,SBKG,221818Z,08012KT,na,olarrr,-DZ,na,SCT005,BKN013,BKN040,21/20,Q1018,na
2016062219,SBKG,221900Z,11009KT,na,olarrr,na,na,SCT008,BKN026,BKN080,21/20,Q1018,na
2016062220,SBKG,222000Z,10012KT,na,olarrr,na,na,SCT004,BKN014,OVC070,21/19,Q1018,na
2016062221,SBKG,222100Z,10005KT,na,olarrr,na,na,SCT042,BKN070,na,21/19,Q1018,na
2016062222,SBKG,222200Z,11005KT,na,olarrr,na,na,na,na,na,21/19,Q1018,na
2016062223,SBKG,222300Z,13004KT,na,olarrr,na,na,na,na,na,21/19,Q1019,na
2016062300,SBKG,230000Z,13005KT,na,olarrr,na,na,FEW013,na,na,21/20,Q1019,na
2016062302,SBKG,230215Z,13006KT,na,olarrr,na,na,BKN010,na,na,21/20,Q1020,na
2016062303,SBKG,230300Z,14007KT,na,olarrr,na,na,BKN010,na,na,21/20,Q1020,na
2016062304,SBKG,230400Z,16005KT,na,olarrr,na,na,SCT010,BKN015,na,21/20,Q1019,na
2016062304,SBKG,230415Z,16004KT,na,olarrr,na,na,BKN010,na,na,21/20,Q1019,na
2016062305,SBKG,230500Z,15006KT,na,olarrr,na,na,BKN010,na,na,21/20,Q1018,na
2016062306,SBKG,230600Z,15005KT,na,olarrr,na,na,BKN007,na,na,21/20,Q1018,na
2016062307,SBKG,230700Z,14005KT,na,olarrr,na,na,BKN010,na,na,21/20,Q1018,na
2016062308,SBKG,230800Z,17004KT,na,olarrr,na,na,SCT015,na,na,20/20,Q1018,na
2016062309,SBKG,230900Z,15004KT,na,olarrr,na,na,FEW013,SCT017,BKN080,21/20,Q1019,na
2016062310,SBKG,231000Z,14007KT,na,olarrr,na,na,SCT013,SCT017,na,21/20,Q1019,na
2016062311,SBKG,231100Z,15007KT,na,olarrr,na,na,SCT011,BKN018,na,22/20,Q1019,na
2016062312,SBKG,231200Z,15012KT,na,olarrr,na,na,FEW012,BKN019,na,23/20,Q1020,na
2016062313,SBKG,231300Z,14011KT,na,olarrr,na,na,BKN019,na,na,24/20,Q1019,na
2016062314,SBKG,231400Z,12013KT,na,olarrr,na,na,BKN024,na,na,25/20,Q1019,na
2016062315,SBKG,231500Z,16010KT,na,olarrr,na,na,BKN025,na,na,26/20,Q1018,na
2016062316,SBKG,231600Z,15011KT,na,olarrr,na,na,BKN025,na,na,27/20,Q1017,na
2016062317,SBKG,231700Z,12012KT,na,olarrr,na,na,FEW015,BKN030,na,27/20,Q1017,na
2016062318,SBKG,231800Z,14013KT,na,olarrr,na,na,BKN030,na,na,26/20,Q1017,na
2016062319,SBKG,231900Z,14011KT,na,olarrr,na,na,FEW012,BKN020,na,25/20,Q1017,na
2016062320,SBKG,232000Z,15011KT,na,olarrr,na,na,BKN020,na,na,24/20,Q1017,na
2016062321,SBKG,232100Z,16007KT,na,olarrr,na,na,SCT015,SCT020,na,23/20,Q1017,na
2016062321,SBKG,232120Z,12006KT,na,olarrr,na,na,na,na,na,22/20,Q1018,na
2016062400,SBKG,240000Z,12008KT,na,olarrr,na,na,BKN015,na,na,22/20,Q1019,na
2016062401,SBKG,240100Z,13007KT,na,olarrr,na,na,BKN010,na,na,22/20,Q1019,na
2016062402,SBKG,240200Z,12006KT,na,olarrr,na,na,BKN010,na,na,21/19,Q1019,na
2016062403,SBKG,240300Z,14007KT,na,olarrr,na,na,BKN010,na,na,21/20,Q1019,na
2016062404,SBKG,240400Z,14005KT,na,olarrr,na,na,BKN010,na,na,21/19,Q1018,na
2016062405,SBKG,240500Z,12004KT,na,olarrr,na,na,BKN015,na,na,21/19,Q1018,na
2016062406,SBKG,240600Z,13004KT,na,olarrr,na,na,SCT015,na,na,21/19,Q1018,na
2016062407,SBKG,240700Z,13004KT,na,olarrr,na,na,SCT015,na,na,20/19,Q1018,na
2016062408,SBKG,240800Z,16002KT,na,olarrr,na,na,SCT015,na,na,20/18,Q1018,na
2016062409,SBKG,240900Z,25004KT,na,olarrr,na,na,na,na,na,18/18,Q1018,na
2016062410,SBKG,241000Z,00000KT,na,olarrr,na,na,na,na,na,21/19,Q1019,na
2016062411,SBKG,241100Z,17006KT,na,olarrr,na,na,na,na,na,22/18,Q1019,na
2016062412,SBKG,241200Z,14010KT,na,olarrr,na,na,na,na,na,24/18,Q1020,na
2016062413,SBKG,241300Z,15007KT,na,olarrr,na,na,SCT028,na,na,25/19,Q1019,na
2016062414,SBKG,241400Z,14005KT,na,olarrr,na,na,SCT033,na,na,27/18,Q1019,na
2016062415,SBKG,241500Z,14011KT,na,olarrr,na,na,SCT033,na,na,27/18,Q1019,na
2016062416,SBKG,241600Z,13009KT,na,olarrr,na,na,BKN040,na,na,27/18,Q1018,na
2016062417,SBKG,241700Z,13010KT,na,olarrr,na,na,BKN040,na,na,27/18,Q1017,na
2016062418,SBKG,241800Z,14009KT,na,olarrr,na,na,BKN040,na,na,28/18,Q1017,na
2016062419,SBKG,241900Z,13011KT,na,olarrr,na,na,BKN040,na,na,27/18,Q1017,na
2016062420,SBKG,242000Z,13013KT,na,olarrr,na,na,FEW015,SCT040,na,26/19,Q1017,na
2016062421,SBKG,242100Z,11010KT,na,olarrr,na,na,FEW040,na,na,24/19,Q1018,na
2016062422,SBKG,242200Z,12011KT,na,olarrr,na,na,FEW020,na,na,23/19,Q1018,na
2016062500,SBKG,250015Z,11006KT,na,olarrr,na,na,na,na,na,21/19,Q1020,na
2016062501,SBKG,250100Z,11005KT,na,olarrr,na,na,na,na,na,21/19,Q1020,na
2016062502,SBKG,250200Z,12003KT,na,olarrr,na,na,na,na,na,20/18,Q1020,na
2016062503,SBKG,250300Z,14002KT,na,olarrr,na,na,na,na,na,20/18,Q1020,na
2016062504,SBKG,250400Z,16004KT,na,olarrr,na,na,na,na,na,20/18,Q1019,na
2016062505,SBKG,250500Z,14002KT,na,olarrr,na,na,na,na,na,19/18,Q1019,na
2016062506,SBKG,250600Z,15003KT,na,olarrr,na,na,na,na,na,19/18,Q1018,na
2016062507,SBKG,250700Z,15004KT,na,olarrr,na,na,na,na,na,19/17,Q1018,na
2016062508,SBKG,250800Z,11002KT,na,olarrr,na,na,na,na,na,19/18,Q1018,na
2016062509,SBKG,250900Z,14004KT,na,olarrr,na,na,na,na,na,19/18,Q1018,na
2016062510,SBKG,251000Z,15004KT,na,olarrr,na,na,FEW004,SCT011,na,21/19,Q1019,na
2016062511,SBKG,251100Z,15009KT,na,olarrr,na,na,BKN015,na,na,22/19,Q1020,na
2016062512,SBKG,251200Z,15012KT,na,olarrr,na,na,BKN020,na,na,23/19,Q1020,na
2016062513,SBKG,251300Z,16010KT,na,olarrr,na,na,BKN020,na,na,25/19,Q1020,na
2016062514,SBKG,251400Z,14011KT,na,olarrr,na,na,BKN033,na,na,27/19,Q1019,na
2016062515,SBKG,251500Z,15012KT,na,olarrr,na,na,SCT038,na,na,27/18,Q1018,na
2016062516,SBKG,251600Z,12015KT,na,olarrr,na,na,SCT040,na,na,29/18,Q1017,na
2016062517,SBKG,251700Z,14013KT,na,olarrr,na,na,SCT047,na,na,28/17,Q1016,na
2016062518,SBKG,251800Z,12013KT,na,olarrr,na,na,SCT046,na,na,28/17,Q1016,na
2016062519,SBKG,251900Z,13013KT,na,olarrr,na,na,FEW046,na,na,27/18,Q1016,na
2016062520,SBKG,252000Z,14009KT,na,olarrr,na,na,na,na,na,26/19,Q1017,na
2016062500,SBKG,250015Z,11006KT,na,olarrr,na,na,na,na,na,21/19,Q1020,na
2016062501,SBKG,250100Z,11005KT,na,olarrr,na,na,na,na,na,21/19,Q1020,na
2016062502,SBKG,250200Z,12003KT,na,olarrr,na,na,na,na,na,20/18,Q1020,na
2016062503,SBKG,250300Z,14002KT,na,olarrr,na,na,na,na,na,20/18,Q1020,na
2016062504,SBKG,250400Z,16004KT,na,olarrr,na,na,na,na,na,20/18,Q1019,na
2016062505,SBKG,250500Z,14002KT,na,olarrr,na,na,na,na,na,19/18,Q1019,na
